country,analyte,Source,age,mean,sd,up_lim,low_lim,unit,,,
US,succinylacetone,Serum Amino Acid Profiles in Normal Subjects and in Patients with or at Risk of Alzheimer Dementia (nih.gov),65,1.55,0.14,NA,NA,μmol/L,,,
US,tryptophan,Serum Amino Acid Profiles in Normal Subjects and in Patients with or at Risk of Alzheimer Dementia (nih.gov),65,NA,NA,NA,NA,μmol/L,,,
US,tyrosine,Serum Amino Acid Profiles in Normal Subjects and in Patients with or at Risk of Alzheimer Dementia (nih.gov),65,103.3,18.3,NA,NA,μmol/L,,,
US,valine,Serum Amino Acid Profiles in Normal Subjects and in Patients with or at Risk of Alzheimer Dementia (nih.gov),65,197.05,25.25,NA,NA,μmol/L,,,
Poland,1-methylhistidine,v14p0001.pdf (medsci.org),67.7,6,NA,0.7,24.8,μmol/L,,,
Poland,3-methylhistidine,v14p0001.pdf (medsci.org),67.7,3.2,NA,1.6,6.3,μmol/L,,,
Poland,alanine,v14p0001.pdf (medsci.org),67.7,488.3,NA,207.6,782.2,μmol/L,,,
Poland,arginine,v14p0001.pdf (medsci.org),67.7,95,NA,58.3,180.1,μmol/L,,,
Poland,asparagine,v14p0001.pdf (medsci.org),67.7,44.3,NA,27.7,63.4,μmol/L,,,
Poland,aspartic acid,v14p0001.pdf (medsci.org),67.7,11.8,NA,5,21,μmol/L,,,
Poland,citrulline,v14p0001.pdf (medsci.org),67.7,26.9,NA,7.4,45.2,μmol/L,,,
Poland,cystine,v14p0001.pdf (medsci.org),67.7,4.3,NA,1,30.5,μmol/L,,,
Poland,ethanolamine,v14p0001.pdf (medsci.org),67.7,9.8,NA,6.3,16.2,μmol/L,,,
Poland,glutamic acid,v14p0001.pdf (medsci.org),67.7,65.4,NA,24.8,187.3,μmol/L,,,
Poland,glutamine,v14p0001.pdf (medsci.org),67.7,496.3,NA,333.6,734.3,μmol/L,,,
Poland,glycine,v14p0001.pdf (medsci.org),67.7,234.5,NA,136.8,404.6,μmol/L,,,
Poland,histidine,v14p0001.pdf (medsci.org),67.7,63.7,NA,47.9,101.2,μmol/L,,,
Poland,hydroxyproline,v14p0001.pdf (medsci.org),67.7,12.3,NA,3.1,40.7,μmol/L,,,
Poland,isoleucine,v14p0001.pdf (medsci.org),67.7,69.9,NA,45.5,101.5,μmol/L,,,
Poland,leucine,v14p0001.pdf (medsci.org),67.7,124.7,NA,77.6,189,μmol/L,,,
Poland,lysine,v14p0001.pdf (medsci.org),67.7,188.8,NA,122.5,299.9,μmol/L,,,
Poland,methionine,v14p0001.pdf (medsci.org),67.7,23.7,NA,14.3,36.3,μmol/L,,,
Poland,ornithine,v14p0001.pdf (medsci.org),67.7,92.9,NA,46.7,158.4,μmol/L,,,
Poland,phenylalanine,v14p0001.pdf (medsci.org),67.7,55.8,NA,41.2,83.7,μmol/L,,,
Poland,proline,v14p0001.pdf (medsci.org),67.7,188.8,NA,98.9,311.3,μmol/L,,,
Poland,sarcosine,v14p0001.pdf (medsci.org),67.7,1.2,NA,0.2,3,μmol/L,,,
Poland,serine,v14p0001.pdf (medsci.org),67.7,121.7,NA,78.2,199.1,μmol/L,,,
Poland,taurine,v14p0001.pdf (medsci.org),67.7,105.6,NA,48,232.1,μmol/L,,,
Poland,threonine,v14p0001.pdf (medsci.org),67.7,100.6,NA,62.6,152.3,μmol/L,,,
Poland,tryptophan,v14p0001.pdf (medsci.org),67.7,44.9,NA,30.3,67.4,μmol/L,,,
Poland,tyrosine,v14p0001.pdf (medsci.org),67.7,43.6,NA,26.5,68.7,μmol/L,,,
Poland,valine,v14p0001.pdf (medsci.org),67.7,236.8,NA,161.9,307.6,μmol/L,,,
Poland,α-aminoadipic acid,v14p0001.pdf (medsci.org),67.7,1,NA,0.5,2,μmol/L,,,
Poland,α-amino-n-butyric acid,v14p0001.pdf (medsci.org),67.7,24.1,NA,13.1,42.8,μmol/L,,,
Poland,β-alanine,v14p0001.pdf (medsci.org),67.7,15.6,NA,5.9,45.1,μmol/L,,,
Poland,β-aminoisobutyric acid,v14p0001.pdf (medsci.org),67.7,1.9,NA,0.8,4.2,μmol/L,,,
Singapore,Alanine,TanIK.pmd (annals.edu.sg),,396,NA,260,585,μmol/L,,,
Singapore,β-alanine,TanIK.pmd (annals.edu.sg),38.7,NA,NA,NA,NA,μmol/L,,,
Singapore,α-aminoadipic acid,TanIK.pmd (annals.edu.sg),38.7,6,NA,0,12,μmol/L,,,
Singapore,α-aminobutyric acid,TanIK.pmd (annals.edu.sg),38.7,28,NA,7,51,μmol/L,,,
Singapore,Arginine,TanIK.pmd (annals.edu.sg),38.7,94,NA,61,132,μmol/L,,,
Singapore,Asparagine,TanIK.pmd (annals.edu.sg),38.7,53,NA,39,83,μmol/L,,,
Singapore,Aspartic acid,TanIK.pmd (annals.edu.sg),38.7,6,NA,2,18,μmol/L,,,
Singapore,Citrulline,TanIK.pmd (annals.edu.sg),38.7,32,NA,14,61,μmol/L,,,
Singapore,Cystathionine,TanIK.pmd (annals.edu.sg),38.7,3,NA,0,7,μmol/L,,,
Singapore,Cystine,TanIK.pmd (annals.edu.sg),38.7,52,NA,23,71,μmol/L,,,
Singapore,Ethanolamine,TanIK.pmd (annals.edu.sg),38.7,NA,NA,NA,NA,μmol/L,,,
Singapore,Glutamic acid,TanIK.pmd (annals.edu.sg),38.7,32,NA,4,68,μmol/L,,,
Singapore,Glutamine,TanIK.pmd (annals.edu.sg),38.7,561,NA,259,687,μmol/L,,,
Singapore,Glycine,TanIK.pmd (annals.edu.sg),38.7,216,NA,135,342,μmol/L,,,
Singapore,Histidine,TanIK.pmd (annals.edu.sg),38.7,77,NA,56,113,μmol/L,,,
Singapore,Hydroxyproline,TanIK.pmd (annals.edu.sg),38.7,18,NA,5,43,μmol/L,,,
Singapore,Isoleucine,TanIK.pmd (annals.edu.sg),38.7,68,NA,50,111,μmol/L,,,
Singapore,Leucine,TanIK.pmd (annals.edu.sg),38.7,125,NA,96,203,μmol/L,,,
Singapore,Lysine,TanIK.pmd (annals.edu.sg),38.7,173,NA,108,234,μmol/L,,,
Singapore,Methionine,TanIK.pmd (annals.edu.sg),38.7,34,NA,26,48,μmol/L,,,
Singapore,1-Methylhistidine,TanIK.pmd (annals.edu.sg),38.7,3,NA,0,29,μmol/L,,,
Singapore,3-Methylhistidine,TanIK.pmd (annals.edu.sg),38.7,7,NA,0,16,μmol/L,,,
Singapore,Ornithine,TanIK.pmd (annals.edu.sg),38.7,59,NA,36,92,μmol/L,,,
Singapore,Phenylalanine,TanIK.pmd (annals.edu.sg),38.7,58,NA,48,73,μmol/L,,,
Singapore,Phosphoethanolamine,TanIK.pmd (annals.edu.sg),38.7,7,NA,3,15,μmol/L,,,
Singapore,Phosphoserine,TanIK.pmd (annals.edu.sg),38.7,7,NA,2,13,μmol/L,,,
Singapore,Proline,TanIK.pmd (annals.edu.sg),38.7,164,NA,82,301,μmol/L,,,
Singapore,Serine,TanIK.pmd (annals.edu.sg),38.7,120,NA,77,167,μmol/L,,,
Singapore,Taurine,TanIK.pmd (annals.edu.sg),38.7,49,NA,31,61,μmol/L,,,
Singapore,Threonine,TanIK.pmd (annals.edu.sg),38.7,134,NA,97,221,μmol/L,,,
Singapore,Tyrosine,TanIK.pmd (annals.edu.sg),38.7,67,NA,48,96,μmol/L,,,
Singapore,Valine,TanIK.pmd (annals.edu.sg),38.7,226,NA,169,354,μmol/L,,,
Canada(F),Aspartate,(PDF) Plasma amino acid profiles of breast cancer patients early in the trajectory of the disease differ from healthy comparison groups (researchgate.net),47,16,6,NA,NA,mmol/L,,,
Canada(F),Serine,(PDF) Plasma amino acid profiles of breast cancer patients early in the trajectory of the disease differ from healthy comparison groups (researchgate.net),47,89,42,NA,NA,mmol/L,,,
Canada(F),Asparagine,(PDF) Plasma amino acid profiles of breast cancer patients early in the trajectory of the disease differ from healthy comparison groups (researchgate.net),47,187,37,NA,NA,mmol/L,,,
Canada(F),Glycine,(PDF) Plasma amino acid profiles of breast cancer patients early in the trajectory of the disease differ from healthy comparison groups (researchgate.net),47,229,98,NA,NA,mmol/L,,,
Canada(F),Glutamine,(PDF) Plasma amino acid profiles of breast cancer patients early in the trajectory of the disease differ from healthy comparison groups (researchgate.net),47,595,158,NA,NA,mmol/L,,,
Canada(F),Taurine,(PDF) Plasma amino acid profiles of breast cancer patients early in the trajectory of the disease differ from healthy comparison groups (researchgate.net),47,40,10,NA,NA,mmol/L,,,
Canada(F),Alanine,(PDF) Plasma amino acid profiles of breast cancer patients early in the trajectory of the disease differ from healthy comparison groups (researchgate.net),47,377,137,NA,NA,mmol/L,,,
Canada(F),Arginine,(PDF) Plasma amino acid profiles of breast cancer patients early in the trajectory of the disease differ from healthy comparison groups (researchgate.net),47,87,32,NA,NA,mmol/L,,,
Canada(F),Proline,(PDF) Plasma amino acid profiles of breast cancer patients early in the trajectory of the disease differ from healthy comparison groups (researchgate.net),47,169,80,NA,NA,mmol/L,,, 
Canada(F),Tyrosine,(PDF) Plasma amino acid profiles of breast cancer patients early in the trajectory of the disease differ from healthy comparison groups (researchgate.net),47,101,60,NA,NA,mmol/L,,,
Canada(F),Valine,(PDF) Plasma amino acid profiles of breast cancer patients early in the trajectory of the disease differ from healthy comparison groups (researchgate.net),47,213,58,NA,NA,mmol/L,,,
Canada(F),Methionine,(PDF) Plasma amino acid profiles of breast cancer patients early in the trajectory of the disease differ from healthy comparison groups (researchgate.net),47,27,10,NA,NA,mmol/L,,,
Canada(F),Isoleucine,(PDF) Plasma amino acid profiles of breast cancer patients early in the trajectory of the disease differ from healthy comparison groups (researchgate.net),47,47,22,NA,NA,mmol/L,,,
Canada(F),Phenylalanine,(PDF) Plasma amino acid profiles of breast cancer patients early in the trajectory of the disease differ from healthy comparison groups (researchgate.net),47,17,3,NA,NA,mmol/L,,,
Canada(F),Ornithine,(PDF) Plasma amino acid profiles of breast cancer patients early in the trajectory of the disease differ from healthy comparison groups (researchgate.net),47,44,13,NA,NA,mmol/L,,,
Canada(F),Lysine,(PDF) Plasma amino acid profiles of breast cancer patients early in the trajectory of the disease differ from healthy comparison groups (researchgate.net),47,174,38,NA,NA,mmol/L,,,
Canada(F),TAA,(PDF) Plasma amino acid profiles of breast cancer patients early in the trajectory of the disease differ from healthy comparison groups (researchgate.net),47,2743,585,NA,NA,mmol/L,,,
Canada(F),EAA,(PDF) Plasma amino acid profiles of breast cancer patients early in the trajectory of the disease differ from healthy comparison groups (researchgate.net),47,754,149,NA,NA,mmol/L,,,
Canada(F),BCAA,(PDF) Plasma amino acid profiles of breast cancer patients early in the trajectory of the disease differ from healthy comparison groups (researchgate.net),47,346,93,NA,NA,mmol/L,,,
China,Lysine,https://apjcn.nhri.org.tw/server/APJCN/23/3/429.pdf,61,279,23,NA,NA,μmol/L,,,
China,Methionine,https://apjcn.nhri.org.tw/server/APJCN/23/3/429.pdf,61,61,8,NA,NA,μmol/L,,,
China,Isoleucine,https://apjcn.nhri.org.tw/server/APJCN/23/3/429.pdf,61,190,34,NA,NA,μmol/L,,,
China,Leucine,https://apjcn.nhri.org.tw/server/APJCN/23/3/429.pdf,61,166,14,NA,NA,μmol/L,,,
China,Tryptophan ,https://apjcn.nhri.org.tw/server/APJCN/23/3/429.pdf,61,198,110,NA,NA,μmol/L,,,
China,Phenylalanine,https://apjcn.nhri.org.tw/server/APJCN/23/3/429.pdf,61,109,4,NA,NA,μmol/L,,,
China,Histidine,https://apjcn.nhri.org.tw/server/APJCN/23/3/429.pdf,61,184,27,NA,NA,μmol/L,,,
China,Valine,https://apjcn.nhri.org.tw/server/APJCN/23/3/429.pdf,61,281,29,NA,NA,μmol/L,,,
China,Threonine,https://apjcn.nhri.org.tw/server/APJCN/23/3/429.pdf,61,214,35,NA,NA,μmol/L,,,
China,Taurine,https://apjcn.nhri.org.tw/server/APJCN/23/3/429.pdf,61,313,138,NA,NA,μmol/L,,,
China,Aspartic acid,https://apjcn.nhri.org.tw/server/APJCN/23/3/429.pdf,61,54,4,NA,NA,μmol/L,,,
China,Serine,https://apjcn.nhri.org.tw/server/APJCN/23/3/429.pdf,61,258,27,NA,NA,μmol/L,,,
China,Glutamic acid,https://apjcn.nhri.org.tw/server/APJCN/23/3/429.pdf,61,210,11,NA,NA,μmol/L,,,
China,Glycine,https://apjcn.nhri.org.tw/server/APJCN/23/3/429.pdf,61,454,29,NA,NA,μmol/L,,,
China,Alanine,https://apjcn.nhri.org.tw/server/APJCN/23/3/429.pdf,61,611,32,NA,NA,μmol/L,,,
China,Citrulline,https://apjcn.nhri.org.tw/server/APJCN/23/3/429.pdf,61,82,6,NA,NA,μmol/L,,,
China,α-aminobutyric acid,https://apjcn.nhri.org.tw/server/APJCN/23/3/429.pdf,61,62,3,NA,NA,μmol/L,,,
China,Cystein,https://apjcn.nhri.org.tw/server/APJCN/23/3/429.pdf,61,68,4,NA,NA,μmol/L,,,
China,Tyrosine,https://apjcn.nhri.org.tw/server/APJCN/23/3/429.pdf,61,71,5,NA,NA,μmol/L,,,
China,Hydroxylysine ,https://apjcn.nhri.org.tw/server/APJCN/23/3/429.pdf,61,11,4,NA,NA,μmol/L,,,
China,Ornithine,https://apjcn.nhri.org.tw/server/APJCN/23/3/429.pdf,61,210,14,NA,NA,μmol/L,,,
China,Arginine,https://apjcn.nhri.org.tw/server/APJCN/23/3/429.pdf,61,96,12,NA,NA,μmol/L,,,
China,Proline,https://apjcn.nhri.org.tw/server/APJCN/23/3/429.pdf,61,339,51,NA,NA,μmol/L,,,
US,arginine,Altered amino acid profile in patients with SARS-CoV-2 infection (pnas.org),46,87.78,28.57,143.05,54.74,μmol/L,,,
US,ornithine,Altered amino acid profile in patients with SARS-CoV-2 infection (pnas.org),46,106.88,37.94,167.55,59.4,μmol/L,,,
US,citrulline,Altered amino acid profile in patients with SARS-CoV-2 infection (pnas.org),46,18.65,3.46,12.9,24.64,μmol/L,,,
US,alanine,Altered amino acid profile in patients with SARS-CoV-2 infection (pnas.org),46,505.966,103.88,717.518,392.1,μmol/L,,,
US,cysteine,Altered amino acid profile in patients with SARS-CoV-2 infection (pnas.org),46,4.25,1.03,2.71,6.37,μmol/L,,,
US,cystine,Altered amino acid profile in patients with SARS-CoV-2 infection (pnas.org),46,6.95,2.62,11.55,4.05,μmol/L,,,
US,glutamic_acid,Altered amino acid profile in patients with SARS-CoV-2 infection (pnas.org),46,210.21,79.38,353.342,100.367,μmol/L,,,
US,glutamine,Altered amino acid profile in patients with SARS-CoV-2 infection (pnas.org),46,1054.87,161.11,1349.13,768.7,μmol/L,,,
US,glycine,Altered amino acid profile in patients with SARS-CoV-2 infection (pnas.org),46,7180.71,2641.88,4211.88,12020,μmol/L,,,
US,histidine,Altered amino acid profile in patients with SARS-CoV-2 infection (pnas.org),46,77.28,10.62,54.716,89.408,μmol/L,,,
US,isoleucine,Altered amino acid profile in patients with SARS-CoV-2 infection (pnas.org),46,20.9,6.07,11.77,30.371,μmol/L,,,
US,leucine,Altered amino acid profile in patients with SARS-CoV-2 infection (pnas.org),46,110.42,44.51,22.23,175.53,μmol/L,,,
US,lysine,Altered amino acid profile in patients with SARS-CoV-2 infection (pnas.org),46,229.91,40.75,308.997,163.65,μmol/L,,,
US,methionine,Altered amino acid profile in patients with SARS-CoV-2 infection (pnas.org),46,26.97,6.17,37.813,14.13,μmol/L,,,
US,phenylalanine,Altered amino acid profile in patients with SARS-CoV-2 infection (pnas.org),46,40.26,5.88,48.27,26.11,μmol/L,,,
US,proline,Altered amino acid profile in patients with SARS-CoV-2 infection (pnas.org),46,239.18,62.27,356.85,147.33,μmol/L,,,
US,serine,Altered amino acid profile in patients with SARS-CoV-2 infection (pnas.org),46,270.99,66.06,413.07,197.73,μmol/L,,,
US,threonine,Altered amino acid profile in patients with SARS-CoV-2 infection (pnas.org),46,40.36,10.88,69.64,27.99,μmol/L,,,
US,tryptophan,Altered amino acid profile in patients with SARS-CoV-2 infection (pnas.org),46,41.3,3.82,45.775,33.67,μmol/L,,,
US,tyrosine,Altered amino acid profile in patients with SARS-CoV-2 infection (pnas.org),46,48.41,8.66,60.36,32.13,μmol/L,,,
US,valine,Altered amino acid profile in patients with SARS-CoV-2 infection (pnas.org),46,196.02,45.28,273.07,120.33,μmol/L,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
